"Project","vscode"
"Directory Scanned","/Users/hobbit/github/galasa/vscode"
"Date","2020-05-26T13:06:06.106Z"
"CLI Version","2.2.35"
"WILD Version","1.0.201"
""
"Name","Version","Need Pedigree Review","Reason","Review Level","License Types","Declared License","License Status","Path"
"galasa-plugin","0.7.0","true","New package and not exempt","","Apache-2.0,BSD-2-Clause,BSD-3-Clause,CC-BY-3.0,CC0-1.0,EPL-2.0,X11","","Needs Legal Approval",""
"galasa-boot","unknown","true","New package and not exempt","","Apache-2.0,MIT","","Approved","lib/galasa-boot.jar"
"commons-logging","1.2","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/commons-logging.jar"
"dev.galasa.framework.maven.repository","0.6.0-SNAPSHOT","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar"
"maven-repository-metadata","3.3.9","false","Previously pedigree reviewed","2","Apache-2.0","","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar/maven-repository-metadata-3.3.9.jar"
"plexus-utils","3.0.22","false","Exempt - Version closely related to 3.0.24","2","Apache-1.1,Apache-2.0,BSD-2-Clause,BSD-3-Clause,KEYWORD,UNKNOWN","","Needs Review","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar/plexus-utils-3.0.22.jar"
"dev.galasa.framework.maven.repository.spi","0.6.0-SNAPSHOT","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.spi.jar"
"log4j","1.2.17","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/log4j.jar"
"apache.felix.bundlerepository","2.0.2","true","New package and not exempt","","Apache-2.0,MIT","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/org.apache.felix.bundlerepository.jar"
"apache.felix.scr","2.1.14","true","New package and not exempt","","Apache-2.0,KEYWORD,MIT,UNKNOWN","Apache-2.0","Needs Review","lib/galasa-boot.jar/bundle/org.apache.felix.scr.jar"
"galasa-simplatform","0.7.0","true","New package and not exempt","","Apache-2.0,BSD-2-Clause,EPL-2.0,MIT,NAIST","","Approved","lib/galasa-simplatform.jar"
"@types/events","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/events"
"@types/glob","7.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/glob"
"@types/minimatch","3.0.3","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/minimatch"
"@types/node","13.13.5","false","Exempt - Version closely related to 13.13.0","2","MIT","MIT","Approved","node_modules/@types/node"
"@types/rimraf","3.0.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/rimraf"
"@types/unzipper","0.10.3","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/unzipper"
"@types/vscode","1.44.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/vscode"
"ajv","6.12.2","false","Exempt - Version closely related to 6.12.0","2","BSD-2-Clause,MIT","MIT","Approved","node_modules/ajv"
"ansi-gray","0.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-gray"
"ansi-wrap","0.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-wrap"
"append-buffer","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/append-buffer"
"archy","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/archy"
"arr-diff","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-diff"
"arr-filter","1.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-filter"
"arr-flatten","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-flatten"
"arr-map","2.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-map"
"arr-union","3.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-union"
"array-each","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-each"
"array-initial","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-initial"
"is-number","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-initial/node_modules/is-number"
"array-last","1.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-last"
"array-slice","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-slice"
"array-sort","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-sort"
"kind-of","5.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-sort/node_modules/kind-of"
"array-unique","0.3.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-unique"
"asn1","0.2.4","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/asn1"
"assert-plus","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/assert-plus"
"assign-symbols","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/assign-symbols"
"async-done","1.3.2","true","New package and not exempt","","MIT","MIT","Approved","node_modules/async-done"
"async-each","1.0.3","true","New package and not exempt","","MIT","MIT","Approved","node_modules/async-each"
"async-settle","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/async-settle"
"asynckit","0.4.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/asynckit"
"atob","2.1.2","false","Previously pedigree reviewed","3.1","Apache-2.0,CC-BY-3.0,KEYWORD,MIT,UNKNOWN","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/atob"
"aws-sign2","0.7.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/aws-sign2"
"aws4","1.9.1","false","Exempt - Version closely related to 1.9.0","2","MIT","MIT","Approved","node_modules/aws4"
"bach","1.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/bach"
"balanced-match","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/balanced-match"
"base","0.11.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base"
"define-property","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base/node_modules/define-property"
"is-accessor-descriptor","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base/node_modules/is-accessor-descriptor"
"is-data-descriptor","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base/node_modules/is-data-descriptor"
"is-descriptor","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base/node_modules/is-descriptor"
"bcrypt-pbkdf","1.0.2","false","Exempt - Version closely related to 1.0.0","2","BSD-3-Clause,ISC,KEYWORD,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/bcrypt-pbkdf"
"big-integer","1.6.48","false","Exempt - Version closely related to 1.6.16","2","Public Domain","","Approved","node_modules/big-integer"
"binary","0.3.0","false","Previously pedigree reviewed","2","","MIT","Approved | Reference Only","node_modules/binary"
"bindings","1.5.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/bindings"
"bluebird","3.4.7","false","Exempt - Version closely related to 3.4.1","2","MIT","MIT","Approved","node_modules/bluebird"
"brace-expansion","1.1.11","false","Exempt - Version closely related to 1.1.6","2","MIT","MIT","Approved","node_modules/brace-expansion"
"buffer-equal","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/buffer-equal"
"buffer-from","1.1.1","false","Exempt - Version closely related to 1.1.0","2","MIT","MIT","Approved","node_modules/buffer-from"
"buffer-indexof-polyfill","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/buffer-indexof-polyfill"
"buffers","0.1.1","false","Exempt - Version closely related to 0.1.0","2","","","No license information available","node_modules/buffers"
"cache-base","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/cache-base"
"caseless","0.12.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/caseless"
"chainsaw","0.1.0","false","Previously pedigree reviewed","2","","X11","Approved | Reference Only","node_modules/chainsaw"
"class-utils","0.3.6","false","Exempt - Version closely related to 0.3.5","2","MIT","MIT","Approved","node_modules/class-utils"
"define-property","0.2.5","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/class-utils/node_modules/define-property"
"clone","2.1.2","false","Exempt - Version closely related to 2.1.1","2","MIT","MIT","Approved","node_modules/clone"
"clone-buffer","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/clone-buffer"
"clone-stats","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/clone-stats"
"cloneable-readable","1.1.3","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/cloneable-readable"
"code-point-at","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/code-point-at"
"collection-map","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/collection-map"
"collection-visit","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/collection-visit"
"color-support","1.1.3","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/color-support"
"combined-stream","1.0.8","false","Exempt - Version closely related to 1.0.7","2","MIT","MIT","Approved","node_modules/combined-stream"
"component-emitter","1.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/component-emitter"
"concat-map","0.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/concat-map"
"concat-stream","1.6.2","false","Exempt - Version closely related to 1.6.0","2","MIT","MIT","Approved","node_modules/concat-stream"
"convert-source-map","1.7.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/convert-source-map"
"copy-descriptor","0.1.1","true","New package and not exempt","","MIT","MIT","Approved","node_modules/copy-descriptor"
"copy-props","2.0.4","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/copy-props"
"core-util-is","1.0.2","true","New package and not exempt","","MIT","MIT","Approved","node_modules/core-util-is"
"d","1.0.1","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/d"
"dashdash","1.14.1","false","Exempt - Version closely related to 1.14.0","2","MIT,UNKNOWN","MIT","Needs Review","node_modules/dashdash"
"decamelize","1.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/decamelize"
"decode-uri-component","0.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/decode-uri-component"
"default-compare","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/default-compare"
"default-resolution","2.0.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/default-resolution"
"define-properties","1.1.3","false","Exempt - Version closely related to 1.1.2","2","MIT","MIT","Approved","node_modules/define-properties"
"define-property","2.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/define-property"
"delayed-stream","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/delayed-stream"
"detect-file","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/detect-file"
"duplexer2","0.1.4","false","Previously pedigree reviewed","2","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/duplexer2"
"duplexify","3.7.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/duplexify"
"each-props","1.3.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/each-props"
"ecc-jsbn","0.1.2","false","Exempt - Version closely related to 0.1.1","2","KEYWORD,MIT,Other-Approved,UNKNOWN","MIT","Needs Review","node_modules/ecc-jsbn"
"end-of-stream","1.4.4","false","Exempt - Version closely related to 1.4.0","2","MIT","MIT","Approved","node_modules/end-of-stream"
"error-ex","1.3.2","false","Exempt - Version closely related to 1.3.0","2","MIT","MIT","Approved","node_modules/error-ex"
"es5-ext","0.10.53","false","Exempt - Version closely related to 0.10.50","2","ISC,X11","ISC","Approved","node_modules/es5-ext"
"es6-iterator","2.0.3","false","Exempt - Version closely related to 2.0.0","2","MIT","MIT","Approved","node_modules/es6-iterator"
"es6-symbol","3.1.3","false","Exempt - Version closely related to 3.1.0","2","ISC","ISC","Approved","node_modules/es6-symbol"
"es6-weak-map","2.0.3","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/es6-weak-map"
"expand-brackets","2.1.4","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/expand-brackets"
"debug","2.6.9","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/expand-brackets/node_modules/debug"
"extend-shallow","2.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/expand-brackets/node_modules/extend-shallow"
"ms","2.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/expand-brackets/node_modules/ms"
"expand-tilde","2.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/expand-tilde"
"ext","1.4.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/ext"
"type","2.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/ext/node_modules/type"
"extend","3.0.2","false","Exempt - Version closely related to 3.0.1","2","MIT","MIT","Approved","node_modules/extend"
"extend-shallow","3.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/extend-shallow"
"is-extendable","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/extend-shallow/node_modules/is-extendable"
"extglob","2.0.4","false","Exempt - Version closely related to 2.0.3","2","MIT","MIT","Approved","node_modules/extglob"
"extsprintf","1.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/extsprintf"
"fancy-log","1.3.3","false","Exempt - Version closely related to 1.3.2","2","MIT","MIT","Approved","node_modules/fancy-log"
"fast-deep-equal","3.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/fast-deep-equal"
"fast-json-stable-stringify","2.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/fast-json-stable-stringify"
"file-uri-to-path","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/file-uri-to-path"
"findup-sync","3.0.0","true","New version and not exempt","","MIT","MIT","Approved","node_modules/findup-sync"
"fined","1.2.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/fined"
"flagged-respawn","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/flagged-respawn"
"flush-write-stream","1.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/flush-write-stream"
"for-in","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/for-in"
"for-own","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/for-own"
"forever-agent","0.6.1","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/forever-agent"
"fragment-cache","0.2.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/fragment-cache"
"fs-mkdirp-stream","1.0.0","false","Previously pedigree reviewed","2","MIT,X11","MIT","Approved","node_modules/fs-mkdirp-stream"
"fs.realpath","1.0.0","false","Previously pedigree reviewed","2","ISC,KEYWORD,MIT,UNKNOWN","ISC","Needs Review","node_modules/fs.realpath"
"fstream","1.0.12","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/fstream"
"rimraf","2.7.1","true","New version and not exempt","","ISC","ISC","Approved","node_modules/fstream/node_modules/rimraf"
"function-bind","1.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/function-bind"
"get-value","2.0.6","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/get-value"
"getpass","0.1.7","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/getpass"
"glob","7.1.6","false","Previously pedigree reviewed","2","CC-BY-SA-4.0,ISC,KEYWORD,UNKNOWN","ISC","Needs Review | Needs Legal Approval","node_modules/glob"
"glob-stream","6.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-stream"
"glob-parent","3.1.0","false","Previously pedigree reviewed","2","ISC,MIT","ISC","Approved","node_modules/glob-stream/node_modules/glob-parent"
"is-glob","3.1.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/glob-stream/node_modules/is-glob"
"glob-watcher","5.0.3","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/glob-watcher"
"anymatch","2.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/glob-watcher/node_modules/anymatch"
"binary-extensions","1.13.1","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/binary-extensions"
"braces","2.3.2","false","Exempt - Version closely related to 2.3.0","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/braces"
"chokidar","2.1.8","false","Exempt - Version closely related to 2.1.6","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/chokidar"
"normalize-path","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/chokidar/node_modules/normalize-path"
"fill-range","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/fill-range"
"fsevents","1.2.13","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/fsevents"
"is-binary-path","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/is-binary-path"
"is-buffer","1.1.6","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/is-buffer"
"is-number","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/is-number"
"kind-of","3.2.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/kind-of"
"normalize-path","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/normalize-path"
"readdirp","2.2.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/readdirp"
"to-regex-range","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/glob-watcher/node_modules/to-regex-range"
"global-modules","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/global-modules"
"global-prefix","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/global-prefix"
"glogg","1.0.2","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/glogg"
"graceful-fs","4.2.4","false","Exempt - Version closely related to 4.2.3","2","ISC","ISC","Approved","node_modules/graceful-fs"
"gulp","4.0.2","false","Exempt - Version closely related to 4.0.0","2","MIT","MIT","Approved","node_modules/gulp"
"ansi-colors","1.1.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/gulp/node_modules/ansi-colors"
"ansi-regex","2.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/gulp/node_modules/ansi-regex"
"camelcase","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/gulp/node_modules/camelcase"
"cliui","3.2.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/gulp/node_modules/cliui"
"get-caller-file","1.0.3","false","Exempt - Version closely related to 1.0.2","2","ISC,UNKNOWN","ISC","Needs Review","node_modules/gulp/node_modules/get-caller-file"
"gulp-cli","2.2.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/gulp/node_modules/gulp-cli"
"is-fullwidth-code-point","1.0.0","false","Exempt - Expected license matched","2","MIT","MIT","Approved","node_modules/gulp/node_modules/is-fullwidth-code-point"
"require-main-filename","1.0.1","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/gulp/node_modules/require-main-filename"
"string-width","1.0.2","false","Exempt - Version closely related to 1.0.1","2","MIT","MIT","Approved","node_modules/gulp/node_modules/string-width"
"strip-ansi","3.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/gulp/node_modules/strip-ansi"
"which-module","1.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/gulp/node_modules/which-module"
"wrap-ansi","2.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/gulp/node_modules/wrap-ansi"
"y18n","3.2.1","false","Exempt - Version closely related to 3.2.0","2","ISC","ISC","Approved","node_modules/gulp/node_modules/y18n"
"yargs","7.1.0","true","New version and not exempt","","MIT,UNKNOWN,X11","MIT","Needs Review","node_modules/gulp/node_modules/yargs"
"yargs-parser","5.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/gulp/node_modules/yargs-parser"
"gulplog","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/gulplog"
"har-schema","2.0.0","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/har-schema"
"har-validator","5.1.3","false","Exempt - Version closely related to 5.1.0","2","MIT","MIT","Approved","node_modules/har-validator"
"has-symbols","1.0.1","false","Exempt - Version closely related to 1.0.0","2","MIT","MIT","Approved","node_modules/has-symbols"
"has-value","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/has-value"
"has-values","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/has-values"
"kind-of","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/has-values/node_modules/kind-of"
"homedir-polyfill","1.0.3","false","Exempt - Version closely related to 1.0.1","2","MIT","MIT","Approved","node_modules/homedir-polyfill"
"hosted-git-info","2.8.8","false","Exempt - Version closely related to 2.8.2","2","ISC","ISC","Approved","node_modules/hosted-git-info"
"http","0.0.1-security","false","Exempt - Version closely related to 0.0.0","2","","","No license information available","node_modules/http"
"http-signature","1.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/http-signature"
"inflight","1.0.6","false","Previously pedigree reviewed","2","ISC","ISC","Approved","node_modules/inflight"
"inherits","2.0.4","false","Exempt - Version closely related to 2.0.3","2","ISC","ISC","Approved","node_modules/inherits"
"ini","1.3.5","false","Exempt - Version closely related to 1.3.4","2","ISC","ISC","Approved","node_modules/ini"
